title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,loudness,liveness,speechiness,instrumentalness,track_popularity
Californication,Red Hot Chili Peppers,rock,intense,0.767,96.483,0.328,0.592,0.0021,-2.788,0.127,0.027,0.00165,81
"Paint It, Black",The Rolling Stones,rock,happy,0.795,158.691,0.612,0.464,0.0493,-9.267,0.399,0.0926,0.00244,81
Everlong,Foo Fighters,rock,intense,0.881,158.066,0.364,0.413,5.99e-05,-5.541,0.0805,0.0367,0.000308,81
You Shook Me All Night Long,AC/DC,rock,happy,0.767,127.361,0.755,0.532,0.00287,-5.509,0.39,0.0574,0.000513,81
ALL RED,Playboi Carti,hip-hop,intense,0.663,143.082,0.209,0.76,0.109,-4.763,0.305,0.0551,0.0,81
BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",hip-hop,happy,0.764,140.113,0.886,0.882,0.359,-5.241,0.119,0.204,0.0,81
Mask Off,Future,hip-hop,sad,0.434,150.062,0.281,0.833,0.0102,-8.795,0.165,0.431,0.0219,81
SICKO MODE,Travis Scott,hip-hop,intense,0.73,155.008,0.446,0.834,0.00513,-3.714,0.124,0.222,0.0,81
PELIGROSA,FloyyMenor,latin,chill,0.442,100.021,0.838,0.776,0.319,-8.99,0.0723,0.0575,1.31e-05,81
No Son Doritos,"Clave Especial, Luis R Conriquez",latin,happy,0.834,139.995,0.92,0.783,0.539,-4.623,0.0903,0.029,0.000212,81
Feel It Still,Portugal. The Man,rock,happy,0.795,79.028,0.754,0.801,0.0417,-5.115,0.0717,0.0504,0.000113,81
If I Ain't Got You,Alicia Keys,r&b,sad,0.444,118.402,0.166,0.609,0.603,-9.129,0.104,0.106,6.86e-06,81
Summer,Calvin Harris,electronic,happy,0.856,127.949,0.743,0.596,0.0211,-3.556,0.141,0.0346,0.0178,81
redrum,21 Savage,gaming,intense,0.733,172.09,0.244,0.625,0.00598,-8.757,0.375,0.0488,0.000983,81
Miles On It,"Marshmello, Kane Brown",gaming,happy,0.761,129.963,0.785,0.634,0.00537,-4.752,0.549,0.0472,0.0,81
Moonlight,XXXTENTACION,gaming,happy,0.537,128.009,0.711,0.921,0.556,-5.723,0.102,0.0804,0.00404,81
Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",gaming,happy,0.745,165.995,0.829,0.808,0.145,-5.26,0.292,0.342,0.0,81
Addicted,"Zerb, The Chainsmokers, Ink",gaming,intense,0.741,120.064,0.19,0.771,0.0245,-7.132,0.111,0.0374,0.000163,81
Thank You (Not So Bad),"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",gaming,happy,0.95,150.019,0.563,0.673,0.0229,-5.149,0.398,0.0488,0.0823,81
360,Charli xcx,gaming,happy,0.62,120.042,0.796,0.857,0.646,-8.13,0.0934,0.0472,0.244,81
Houdini,Eminem,gaming,happy,0.887,127.003,0.889,0.936,0.0292,-2.76,0.0582,0.0683,1.88e-06,81
The Box,Roddy Ricch,gaming,happy,0.586,116.971,0.642,0.896,0.104,-6.687,0.79,0.0559,0.0,81
Lovin On Me,Jack Harlow,gaming,happy,0.558,104.983,0.606,0.943,0.0026,-4.911,0.0937,0.0568,2.19e-06,81
XO Tour Llif3,Lil Uzi Vert,gaming,intense,0.75,155.096,0.401,0.732,0.00264,-6.366,0.109,0.231,0.0,81
Where Are You Now,"Lost Frequencies, Calum Scott",gaming,intense,0.632,121.031,0.282,0.762,0.51,-8.312,0.18,0.085,0.000205,81
Still D.R.E.,"Dr. Dre, Snoop Dogg",hip-hop,happy,0.775,93.431,0.527,0.816,0.16,-3.323,0.0543,0.234,0.00031,81
You Give Love A Bad Name,Bon Jovi,rock,happy,0.959,122.805,0.812,0.541,0.0663,-2.947,0.344,0.0505,2.18e-06,81
telepatía,Kali Uchis,latin,happy,0.524,83.97,0.553,0.653,0.112,-9.016,0.203,0.0502,0.0,81
Before You Go,Lewis Capaldi,pop,intense,0.574,111.881,0.183,0.459,0.608,-4.857,0.0885,0.0577,0.0,81
Anti-Hero,Taylor Swift,pop,intense,0.648,96.888,0.49,0.633,0.121,-6.645,0.161,0.062,2.62e-06,81
Complicated,Avril Lavigne,pop,intense,0.776,77.987,0.427,0.585,0.0572,-5.898,0.3,0.0459,7.74e-06,81
Paradise,Coldplay,pop,intense,0.585,139.631,0.212,0.449,0.0509,-6.761,0.0833,0.0268,8.75e-05,81
Thinking out Loud,Ed Sheeran,pop,chill,0.445,78.998,0.591,0.781,0.474,-6.061,0.184,0.0295,0.0,81
DJ Got Us Fallin' In Love (feat. Pitbull),"USHER, Pitbull",pop,happy,0.861,119.963,0.654,0.663,0.0338,-3.398,0.082,0.109,0.0,81
...Baby One More Time,Britney Spears,pop,happy,0.699,92.96,0.907,0.759,0.202,-5.745,0.443,0.0307,0.000131,81
Ms. Jackson,Outkast,pop,happy,0.806,94.948,0.613,0.843,0.143,-5.946,0.0771,0.269,0.0,81
Poker Face,Lady Gaga,pop,happy,0.806,119.001,0.774,0.851,0.119,-4.618,0.121,0.0787,1.72e-06,81
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,pop,happy,0.824,118.818,0.867,0.709,0.207,-8.824,0.0888,0.0453,0.000307,81
Otherside,Red Hot Chili Peppers,rock,happy,0.795,123.229,0.513,0.458,0.00316,-3.265,0.0756,0.0574,0.000202,81
What I've Done,Linkin Park,rock,intense,0.935,120.092,0.287,0.627,0.0092,-4.882,0.147,0.0324,0.0,81
Can't Stop,Red Hot Chili Peppers,rock,happy,0.938,91.455,0.875,0.618,0.0179,-3.442,0.167,0.0456,0.0,81
All The Small Things,blink-182,punk,happy,0.897,148.708,0.685,0.434,0.0103,-4.918,0.612,0.0488,0.0,81
Baby,"Justin Bieber, Ludacris",blues,happy,0.859,65.043,0.535,0.728,0.0401,-5.237,0.111,0.137,0.0,81
DILUVIO,Rauw Alejandro,latin,happy,0.795,94.969,0.681,0.845,0.343,-3.502,0.224,0.0681,1.78e-05,81
Me Porto Bonito,"Bad Bunny, Chencho Corleone",latin,intense,0.712,92.005,0.425,0.911,0.0901,-5.105,0.0933,0.0817,2.68e-05,81
Everybody Dies In Their Nightmares,XXXTENTACION,hip-hop,happy,0.57,129.953,0.689,0.734,0.847,-7.066,0.112,0.133,2.14e-05,81
Take Me To Church,Hozier,ambient,intense,0.664,129.071,0.437,0.575,0.637,-5.303,0.116,0.0481,0.0,81
rises the moon,Liana Flores,ambient,sad,0.129,137.35,0.203,0.483,0.947,-20.149,0.106,0.0349,0.145,81
Basket Case,Green Day,rock,happy,0.943,85.064,0.781,0.442,0.00293,-3.205,0.091,0.0602,8.71e-06,80
Should I Stay or Should I Go - Remastered,The Clash,rock,happy,0.836,113.375,0.82,0.743,0.0804,-6.465,0.384,0.116,0.0,80
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",hip-hop,intense,0.673,165.921,0.366,0.529,0.000307,-4.711,0.093,0.175,2.41e-06,80
Glock In My Lap,"21 Savage, Metro Boomin",hip-hop,intense,0.733,130.029,0.202,0.847,0.00574,-6.439,0.151,0.16,1.04e-05,80
Solo,Future,hip-hop,sad,0.486,110.964,0.0894,0.784,0.0538,-6.497,0.101,0.0475,0.497,80
KINTSUGI,HUMBE,latin,sad,0.464,79.503,0.301,0.373,0.86,-8.606,0.127,0.256,0.0135,80
IA,"Clarent, Mora",latin,intense,0.631,111.93,0.289,0.706,0.656,-5.812,0.227,0.0366,0.0,80
misses,Dominic Fike,rock,happy,0.509,119.945,0.586,0.578,0.13,-6.229,0.344,0.0279,0.734,80
Open Arms (feat. Travis Scott),"SZA, Travis Scott",r&b,intense,0.586,78.259,0.239,0.434,0.753,-7.612,0.146,0.138,0.0144,80
Broken Clocks,SZA,r&b,intense,0.684,112.912,0.406,0.692,0.131,-7.364,0.156,0.155,0.0,80
Best Time,Brent Faiyaz,r&b,chill,0.307,92.995,0.697,0.81,0.16,-7.215,0.0779,0.12,0.00298,80
Ride It,Regard,electronic,happy,0.751,117.948,0.884,0.88,0.177,-4.258,0.106,0.0874,6.43e-05,80
Cheerleader (Felix Jaehn Remix) - Radio Edit,"OMI, Felix Jaehn",electronic,happy,0.685,118.02,0.603,0.782,0.166,-6.237,0.16,0.0309,1.18e-05,80
Faded,Alan Walker,electronic,intense,0.627,179.642,0.159,0.468,0.0281,-5.085,0.11,0.0476,7.97e-06,80
In My Mind,"Dynoro, Gigi D'Agostino",electronic,intense,0.77,125.905,0.163,0.694,0.176,-5.335,0.118,0.149,1.1e-05,80
Titanium (feat. Sia),"David Guetta, Sia",electronic,intense,0.787,126.062,0.301,0.604,0.0679,-3.674,0.127,0.103,0.15,80
Don't Let Me Down,"The Chainsmokers, Daya",electronic,intense,0.869,159.805,0.425,0.533,0.156,-5.093,0.136,0.173,0.00538,80
2055,Sleepy Hallow,gaming,happy,0.512,80.511,0.638,0.829,0.492,-5.865,0.12,0.187,0.0,80
Mood (feat. iann dior),"24kGoldn, iann dior",gaming,happy,0.716,91.007,0.732,0.701,0.174,-3.671,0.324,0.0361,0.0,80
SLAY!,Eternxlkz,gaming,happy,0.773,129.923,0.504,0.681,0.0863,-4.706,0.0978,0.0345,0.734,80
Bling-Bang-Bang-Born,Creepy Nuts,j-pop,happy,0.822,157.013,0.746,0.853,0.0841,-6.836,0.166,0.246,0.00985,80
Duality,Slipknot,metal,intense,0.982,143.772,0.194,0.354,0.000237,-3.026,0.204,0.168,0.000294,80
Summer Of '69,Bryan Adams,rock,happy,0.834,139.13,0.774,0.509,0.0183,-6.205,0.0732,0.0386,0.0,80
Jingle Bell Rock,Bobby Helms,pop,chill,0.424,119.705,0.806,0.754,0.643,-8.463,0.0652,0.0363,0.0,80
Ojitos Lindos,"Bad Bunny, Bomba Estéreo",latin,intense,0.686,79.928,0.268,0.647,0.08,-5.745,0.528,0.0413,1.34e-06,80
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",latin,happy,0.782,128.033,0.55,0.621,0.0125,-5.548,0.23,0.044,0.033,80
Si No Estás,iñigo quintero,latin,chill,0.421,98.224,0.524,0.537,0.827,-8.72,0.138,0.0285,0.0,80
Drops of Jupiter (Tell Me),Train,pop,intense,0.638,79.064,0.497,0.481,0.153,-5.862,0.154,0.0276,0.0,80
Dance The Night - From Barbie The Album,Dua Lipa,pop,happy,0.845,110.056,0.775,0.671,0.0207,-4.93,0.329,0.048,0.0,80
She Will Be Loved - Radio Mix,Maroon 5,pop,intense,0.663,102.0,0.465,0.651,0.228,-5.569,0.0994,0.0281,0.0,80
Gimme More,Britney Spears,pop,intense,0.844,113.324,0.382,0.788,0.25,-3.131,0.0723,0.0334,0.000678,80
24K Magic,Bruno Mars,pop,happy,0.803,106.97,0.632,0.818,0.034,-4.282,0.153,0.0797,0.0,80
Girls Just Want to Have Fun,Cyndi Lauper,pop,happy,0.799,120.372,0.725,0.71,0.22,-4.897,0.349,0.0328,0.000602,80
Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine",pop,happy,0.795,89.99,0.796,0.646,0.0319,-3.293,0.267,0.0976,0.0,80
Call Me Maybe,Carly Rae Jepsen,pop,happy,0.58,120.021,0.66,0.782,0.0114,-6.548,0.108,0.0407,2.28e-06,80
No Lie,"Sean Paul, Dua Lipa",pop,intense,0.882,102.04,0.463,0.742,0.0466,-2.862,0.206,0.117,0.0,80
SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland",pop,happy,0.583,117.0,0.964,0.967,0.0584,-5.562,0.0519,0.0789,0.0,80
I Gotta Feeling,Black Eyed Peas,pop,happy,0.766,127.966,0.61,0.744,0.0873,-6.375,0.509,0.0265,0.0,80
the perfect pair,beabadoobee,pop,happy,0.663,146.053,0.6,0.634,0.433,-6.818,0.102,0.0331,0.124,80
For the First Time,Mac DeMarco,pop,happy,0.529,75.515,0.521,0.551,0.296,-10.469,0.178,0.0517,0.0093,80
Ride,Twenty One Pilots,rock,happy,0.713,74.989,0.566,0.645,0.00835,-5.355,0.113,0.0393,0.0,80
Take Me Out,Franz Ferdinand,rock,happy,0.663,104.561,0.527,0.277,0.000409,-8.821,0.136,0.0377,0.00051,80
The Middle,Jimmy Eat World,punk,happy,0.849,162.152,0.903,0.643,0.0371,-5.428,0.058,0.0526,0.0,80
Give It To Me - Full Vocal Mix,Matt Sassari,electronic,happy,0.869,126.027,0.726,0.874,0.00116,-5.996,0.164,0.0315,0.00238,80
Passionfruit,Drake,hip-hop,sad,0.463,111.98,0.364,0.809,0.256,-11.377,0.109,0.0396,0.085,80
ceilings,Lizzy McAlpine,ambient,sad,0.322,148.005,0.261,0.516,0.473,-11.762,0.215,0.0292,0.00194,80
Brooklyn Baby,Lana Del Rey,ambient,intense,0.664,107.747,0.0949,0.404,0.542,-6.698,0.11,0.0407,0.00402,80
2 hands,Tate McRae,pop,happy,0.806,104.032,0.587,0.608,0.121,-3.443,0.191,0.0486,0.0,79
Dust in the Wind,Kansas,rock,sad,0.322,93.503,0.387,0.475,0.367,-10.687,0.11,0.0283,0.00056,79
Bitter Sweet Symphony - Remastered 2016,The Verve,rock,happy,0.917,171.176,0.518,0.356,0.0335,-6.006,0.406,0.0479,0.0,79
Everywhere - 2017 Remaster,Fleetwood Mac,rock,chill,0.487,114.965,0.731,0.73,0.258,-10.991,0.0852,0.0303,0.01,79
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,rock,intense,0.532,136.576,0.342,0.601,0.433,-9.119,0.0925,0.0286,5.95e-06,79
Heart-Shaped Box,Nirvana,rock,intense,0.641,203.006,0.382,0.256,0.199,-10.283,0.0853,0.0552,0.0329,79
Vienna,Billy Joel,rock,sad,0.495,124.936,0.308,0.532,0.659,-6.662,0.0754,0.0343,0.0,79
Good Riddance (Time of Your Life),Green Day,rock,chill,0.432,94.605,0.648,0.475,0.183,-7.844,0.161,0.0302,0.0,79
Circadian Rhythm,Drake,hip-hop,intense,0.574,146.007,0.286,0.694,0.193,-6.144,0.082,0.0483,0.0,79
Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown",hip-hop,happy,0.583,116.624,0.533,0.709,0.138,-5.298,0.195,0.204,2.97e-06,79
family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar",hip-hop,intense,0.611,134.093,0.144,0.711,0.00588,-5.453,0.23,0.33,0.0,79
Morena Canela,Chino Pacas,latin,intense,0.614,119.893,0.465,0.658,0.105,-6.981,0.092,0.0324,2.18e-05,79
En Otra Vida,"Yami Safdie, Lasso",latin,sad,0.162,184.784,0.483,0.459,0.929,-11.634,0.137,0.0425,0.0,79
Frente al Mar,Beéle,latin,happy,0.682,100.036,0.618,0.75,0.168,-3.825,0.112,0.0945,1.28e-06,79
My Boo,"USHER, Alicia Keys",r&b,happy,0.507,86.412,0.676,0.662,0.257,-8.238,0.0465,0.118,0.0,79
Girl With The Tattoo Enter.lewd,Miguel,r&b,sad,0.239,113.451,0.127,0.372,0.856,-11.314,0.168,0.0296,0.000175,79
I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb",electronic,happy,0.714,101.969,0.71,0.664,0.0353,-6.645,0.0843,0.111,8.42e-06,79
Blame (feat. John Newman),"Calvin Harris, John Newman",electronic,intense,0.857,128.024,0.348,0.414,0.0287,-4.078,0.343,0.0808,0.00574,79
You & Me - Rivo Remix,"Disclosure, Eliza Doolittle, Rivo",gaming,intense,0.797,122.011,0.0356,0.702,0.583,-6.635,0.179,0.0557,0.495,79
Sprinter,"Dave, Central Cee",gaming,happy,0.681,139.057,0.706,0.918,0.263,-4.705,0.0615,0.201,0.0,79
Somedays,"Sonny Fodera, Jazzy, D.O.D",gaming,happy,0.753,127.926,0.543,0.671,0.019,-6.045,0.177,0.0298,1.29e-05,79
Back On 74,Jungle,gaming,intense,0.761,146.003,0.194,0.62,0.207,-7.282,0.269,0.175,0.000147,79
Enter Sandman,Metallica,metal,happy,0.828,123.257,0.604,0.577,0.00213,-8.691,0.0581,0.0298,0.0114,79
Could You Be Loved,Bob Marley & The Wailers,reggae,happy,0.72,103.314,0.761,0.916,0.36,-8.548,0.0958,0.1,0.00016,79
Under Pressure - Remastered 2011,"Queen, David Bowie",rock,intense,0.712,113.805,0.462,0.671,0.429,-7.815,0.103,0.0476,0.0,79
CLASSY 101,"Feid, Young Miko",latin,happy,0.665,100.09,0.659,0.858,0.126,-4.772,0.119,0.152,0.0,79
Drip Too Hard (Lil Baby & Gunna),"Lil Baby, Gunna",arabic,intense,0.662,112.509,0.39,0.897,0.0852,-6.903,0.534,0.292,0.0,79
I Ain't Worried,OneRepublic,pop,happy,0.797,139.994,0.825,0.704,0.0826,-5.927,0.0546,0.0475,0.000745,79
Try,P!nk,pop,happy,0.628,103.998,0.552,0.674,0.00144,-7.079,0.0944,0.03,0.0,79
7 Years,Lukas Graham,pop,sad,0.473,119.992,0.34,0.765,0.287,-5.829,0.391,0.0514,0.0,79
Heartbreak Anniversary,Giveon,pop,chill,0.465,89.087,0.543,0.449,0.524,-8.964,0.303,0.0791,1.02e-06,79
Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",pop,happy,0.798,116.032,0.942,0.796,0.034,-6.312,0.0952,0.0317,4.19e-05,79
What Do You Mean?,Justin Bieber,pop,happy,0.567,125.02,0.793,0.845,0.59,-8.118,0.0811,0.0956,0.00142,79
Don't Stop The Music,Rihanna,pop,happy,0.669,122.669,0.547,0.834,0.0341,-5.582,0.0535,0.0637,7.18e-05,79
Wannabe,Spice Girls,pop,happy,0.864,110.009,0.891,0.768,0.101,-6.149,0.162,0.0324,0.0,79
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","Maroon 5, Christina Aguilera",pop,happy,0.761,128.046,0.624,0.722,0.0119,-4.46,0.315,0.0475,0.0,79
Oops!...I Did It Again,Britney Spears,pop,happy,0.834,95.053,0.894,0.751,0.3,-5.444,0.355,0.0437,1.77e-05,79
Tainted Love,Soft Cell,pop,happy,0.501,144.438,0.623,0.5,0.462,-8.284,0.26,0.0376,0.0,79
Just Dance,"Lady Gaga, Colby O'Donis",pop,happy,0.739,118.99,0.745,0.822,0.0264,-4.541,0.181,0.0311,4.28e-05,79
Two Faced,Linkin Park,rock,intense,0.945,91.906,0.323,0.51,0.000658,-5.405,0.0413,0.0804,4.8e-06,79
American Idiot,Green Day,punk,happy,0.988,186.113,0.769,0.38,2.64e-05,-2.042,0.368,0.0639,7.86e-05,79
Teenagers,My Chemical Romance,punk,happy,0.857,111.647,0.856,0.463,0.0506,-3.063,0.184,0.0632,0.0,79
Stan,"Eminem, Dido",blues,happy,0.768,80.063,0.507,0.78,0.0371,-4.325,0.518,0.238,2.34e-06,79
i am not who i was,Chance Peña,folk,sad,0.22,129.9,0.197,0.702,0.698,-13.696,0.0891,0.0403,0.0,79
I Only Smoke When I Drink,nimino,electronic,intense,0.729,127.028,0.246,0.88,0.334,-6.378,0.185,0.176,0.0113,79
Efecto,Bad Bunny,latin,sad,0.475,98.047,0.234,0.801,0.141,-8.797,0.0639,0.0516,1.73e-05,79
Tití Me Preguntó,Bad Bunny,latin,intense,0.715,106.672,0.187,0.65,0.0993,-5.198,0.126,0.253,0.000291,79
Moscow Mule,Bad Bunny,latin,intense,0.674,99.968,0.292,0.804,0.294,-5.453,0.115,0.0333,1.18e-06,79
La Bebe - Remix,"Yng Lvcas, Peso Pluma",latin,chill,0.479,169.922,0.559,0.812,0.213,-5.678,0.0756,0.333,1.21e-06,79
Santa,"Rvssian, Rauw Alejandro, Ayra Starr",latin,happy,0.709,99.993,0.648,0.725,0.321,-5.017,0.114,0.129,0.000189,79
Homecoming,"Kanye West, Chris Martin",hip-hop,happy,0.747,86.918,0.918,0.67,0.337,-7.059,0.115,0.189,0.0,79
Chemtrails Over The Country Club,Lana Del Rey,ambient,sad,0.276,201.025,0.429,0.334,0.877,-13.125,0.113,0.0643,0.000249,79
Borderline,Tame Impala,indie,happy,0.873,97.96,0.873,0.621,0.0406,-3.067,0.0824,0.0369,9.1e-06,79
Killing In The Name,Rage Against The Machine,rock,happy,0.833,88.785,0.661,0.466,0.0266,-4.215,0.0327,0.304,0.0,78
Song 2 - 2012 Remaster,Blur,rock,happy,0.789,129.802,0.918,0.674,0.00178,-6.903,0.0753,0.0676,0.00708,78
WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",hip-hop,happy,0.684,166.976,0.68,0.832,0.00449,-4.691,0.229,0.359,0.0,78
No Face,Drake,hip-hop,intense,0.69,125.951,0.471,0.853,0.0771,-5.858,0.0835,0.0647,0.0,78
Took Her To The O,King Von,hip-hop,intense,0.592,159.98,0.4,0.82,0.0149,-7.002,0.121,0.29,4.71e-06,78
Runnin,"21 Savage, Metro Boomin",hip-hop,intense,0.626,143.01,0.415,0.819,0.00748,-4.574,0.167,0.202,0.101,78
Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",hip-hop,happy,0.567,75.965,0.526,0.574,0.164,-7.126,0.258,0.465,0.0,78
PUSH 2 START,Tyla,afrobeats,happy,0.814,93.482,0.758,0.683,0.277,-3.505,0.0858,0.0466,0.00826,78
Khé?,"Rauw Alejandro, Romeo Santos",latin,intense,0.627,155.865,0.47,0.687,0.326,-4.975,0.0893,0.181,0.0,78
Wasted Summers,juju<3,rock,intense,0.643,103.842,0.472,0.633,0.106,-8.122,0.78,0.0252,0.00831,78
Feel It - From The Original Series “Invincible”,d4vd,rock,intense,0.593,120.509,0.429,0.565,0.0288,-5.864,0.215,0.0883,0.0,78
Poison,Brent Faiyaz,r&b,sad,0.394,117.489,0.382,0.689,0.711,-10.102,0.0859,0.065,0.000905,78
Family Affair,Mary J. Blige,r&b,happy,0.551,92.887,0.969,0.911,0.133,-3.75,0.0863,0.045,4.35e-05,78
Clouded,Brent Faiyaz,r&b,chill,0.344,65.203,0.581,0.583,0.774,-8.765,0.143,0.0559,0.0,78
So Sick,Ne-Yo,r&b,happy,0.574,92.795,0.578,0.452,0.245,-8.336,0.189,0.311,0.0,78
Sugar (feat. Francesco Yates),"Robin Schulz, Francesco Yates",electronic,happy,0.815,123.063,0.636,0.636,0.0185,-5.098,0.163,0.0581,0.0,78
Waiting For Love,Avicii,electronic,happy,0.736,127.999,0.613,0.579,0.31,-3.863,0.198,0.0527,0.0,78
On The Floor,"Jennifer Lopez, Pitbull",electronic,happy,0.777,130.003,0.575,0.73,0.105,-5.194,0.0691,0.0496,0.000486,78
DEVIL IS A LIE,Tommy Richman,gaming,chill,0.452,90.026,0.613,0.904,0.174,-7.272,0.115,0.132,0.0,78
Whatever She Wants,Bryson Tiller,gaming,intense,0.512,96.02,0.435,0.803,0.128,-6.871,0.0928,0.066,0.0,78
euphoria,Kendrick Lamar,gaming,intense,0.643,139.948,0.142,0.831,0.046,-5.002,0.084,0.11,0.0,78
Hypnotize - 2014 Remaster,The Notorious B.I.G.,hip-hop,happy,0.697,93.941,0.67,0.901,0.145,-3.439,0.287,0.28,0.0,78
SPOT!,"ZICO, JENNIE",k-pop,happy,0.782,108.038,0.906,0.875,0.151,-3.905,0.113,0.078,0.0,78
How Sweet,NewJeans,k-pop,happy,0.895,124.994,0.757,0.803,0.0816,-2.888,0.154,0.0623,5.67e-06,78
SHEESH,BABYMONSTER,k-pop,intense,0.728,140.041,0.461,0.774,0.113,-5.079,0.0473,0.169,0.0,78
Drama,aespa,k-pop,intense,0.872,131.016,0.378,0.644,0.164,-1.54,0.363,0.0417,0.0,78
Heavy Is the Crown,Linkin Park,pop,intense,0.928,127.939,0.488,0.571,0.00932,-3.725,0.297,0.0453,0.0,78
LA INOCENTE,"Mora, Feid",latin,intense,0.789,91.911,0.464,0.757,0.307,-3.46,0.0717,0.0583,0.0,78
Tiroteo - Remix,"Marc Seguí, Rauw Alejandro, Pol Granch",latin,happy,0.522,110.427,0.601,0.75,0.282,-7.018,0.0743,0.0293,0.0,78
Martin & Gina,Polo G,arabic,intense,0.534,93.924,0.116,0.832,0.345,-7.813,0.165,0.253,0.0,78
Robbery,Juice WRLD,arabic,happy,0.692,79.899,0.566,0.623,0.328,-5.122,0.153,0.0504,0.0,78
Wrecking Ball,Miley Cyrus,pop,sad,0.422,119.964,0.349,0.53,0.407,-6.262,0.107,0.0342,0.0,78
Like I'm Gonna Lose You (feat. John Legend),"Meghan Trainor, John Legend",pop,intense,0.53,108.038,0.417,0.63,0.4,-7.259,0.177,0.0434,0.0,78
Until I Found You (with Em Beihold) - Em Beihold Version,"Stephen Sanchez, Em Beihold",pop,intense,0.55,101.19,0.342,0.551,0.777,-5.339,0.202,0.0286,0.0,78
This Town,Niall Horan,pop,sad,0.401,111.825,0.195,0.677,0.712,-8.467,0.116,0.0308,0.0,78
Lil Boo Thang,Paul Russell,pop,happy,0.699,114.481,0.915,0.85,0.152,-3.292,0.32,0.0776,0.0,78
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",pop,intense,0.764,169.928,0.478,0.591,0.0383,-5.484,0.103,0.0483,0.0,78
Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",pop,chill,0.45,178.765,0.537,0.597,0.223,-6.658,0.382,0.0418,0.0,78
Marry You,Bruno Mars,pop,intense,0.82,144.905,0.452,0.621,0.332,-4.865,0.104,0.0367,0.0,78
Dancing On My Own,Calum Scott,pop,sad,0.174,112.672,0.231,0.681,0.837,-8.745,0.0983,0.0315,3.35e-05,78
Without Me,Halsey,pop,chill,0.488,136.07,0.533,0.752,0.293,-7.05,0.0936,0.0705,9.2e-06,78
Sugar,Maroon 5,pop,happy,0.788,120.076,0.884,0.748,0.0591,-7.055,0.0863,0.0334,0.0,78
Candy Shop,"50 Cent, Olivia",pop,happy,0.574,125.18,0.755,0.613,0.0253,-7.961,0.38,0.467,3.13e-05,78
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,pop,chill,0.491,119.528,0.536,0.749,0.02,-9.655,0.159,0.0403,0.00899,78
Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin",pop,intense,0.84,129.042,0.438,0.612,0.112,-3.145,0.116,0.0509,0.0,78
Rock Your Body,Justin Timberlake,pop,happy,0.714,100.972,0.817,0.892,0.201,-6.055,0.0521,0.141,0.000234,78
Disturbia,Rihanna,pop,happy,0.814,124.921,0.717,0.707,0.0861,-4.509,0.168,0.0577,0.0,78
Believe,Cher,pop,intense,0.917,132.975,0.459,0.652,0.0082,-6.72,0.0509,0.0548,0.0,78
Don't Go Breaking My Heart,"Elton John, Kiki Dee",pop,happy,0.844,131.459,0.777,0.729,0.149,-8.824,0.0604,0.0344,2.87e-06,78
Can't Get You out of My Head,Kylie Minogue,pop,happy,0.563,126.007,0.964,0.766,0.0263,-7.516,0.115,0.0339,0.683,78
Temperature,Sean Paul,pop,happy,0.6,125.04,0.822,0.951,0.106,-4.675,0.0712,0.0685,0.0,78
Latch,"Disclosure, Sam Smith",pop,happy,0.726,121.981,0.529,0.503,0.0159,-5.456,0.0895,0.167,7.98e-05,78
9 to 5,Dolly Parton,pop,happy,0.783,105.39,0.813,0.554,0.416,-5.852,0.631,0.0457,1.54e-06,78
Shake It Off,Taylor Swift,pop,happy,0.8,160.078,0.942,0.647,0.0647,-5.384,0.334,0.165,0.0,78
Pon de Replay,Rihanna,pop,intense,0.64,99.017,0.499,0.779,0.000155,-8.415,0.101,0.159,0.000766,78
Nothing's New,Rio Romeo,pop,sad,0.394,96.192,0.399,0.421,0.863,-8.312,0.0984,0.0277,4.74e-06,78
Bags,Clairo,pop,happy,0.546,104.996,0.868,0.742,0.172,-7.694,0.115,0.0315,0.38,78
Supermassive Black Hole,Muse,rock,happy,0.921,120.0,0.782,0.668,0.0492,-3.727,0.0877,0.0439,0.00517,78
